Level,Main Chapter,Lesson Title,Source Type,Source URL,Content,Token Count,Access,Last Updated,Last Index Time
Foundation,, Referencing Media Library Files Within Applications.Txt,transcription,,hello and welcome to the sea learning video throughout this session I will walk you through the process of utilising media library files within applications tiles and the Launchpad from the cockpit open the media library and in the media library demo folder I will import some of the files that will be used now we open the application from the package in the app designer where you can see that we have three empty custom tiles the goal is to link the image component within this tiles to an image that is stored in the media library to achieve this select the image component scroll down to source and from the dialogue you can select the image from the media library save activate and the media library file is now used in the application now let's do the same for the other two components in the next page of the application there is a list with the products but no image is associated with any of the products so let's fix that we go to the media library and create a new folder where the product images will be stored select the folder and import the files for this example I have store d URL of the images in a table called products demo this table is connected to an API which is used in the application to get all the products and populate the products list now let's find the image components from the list item so each product will display a descriptive image from the source of the image click on the Binding icon and select the image property save activate and now each product displays its associated image great now we can move on to the Launchpad and Tiles to show you how media library files can be used within this tools open the Launchpad and run the media library demo Launchpad that comes within the package currently the Launchpad has no background image and the tiles are not displaying any images so let's adjust this in the layout tab of the Launchpad click on the background image and select the image that you want to utilise as a background from the media library click save as you can see the preview of the launch but has updated and now I will refresh the Launchpad in the image that I have selected from the media library is now applied as a background for the Launchpad let's continue by adding images to each tile from the Launchpad locate the tile within the solid group and under layout there is a panel called tile background image where you can choose an image from the middle library that will be displayed on the tile select the image click save and display now if I refresh the Launchpad the image will be displayed on the tile so let's do the same for the other tiles tile layout select the image and save refresh lunch but again and now all the tiles are displaying images which improves the look and feel of the Launchpad well done now you know how to use the media library files within applications tiles and the Launchpad see you in the next lesson goodbye,557,public,2024-05-16 14:34:35.161563,
Foundation,, Diagram User Group Role Relationship.Txt,text,,"

",1,public,2024-05-16 14:34:35.163977,
Foundation,, Introduction Presentation.Txt,transcription,,Neptune software currently supports two kinds of no code tools we have front end Focus tools allowing much more customisation of the interface and we have back-end data Focus tools which have less UI configuration and more focus on being able to interact with data the adaptive framework is part of the core of the open edition so it runs inside the cockpit this is unlike the app builder which is hosted and available within the Neptune portal the adaptive framework consists of two key components the adaptive designer and adaptive templates together they form the framework the adaptive designer allows you to create adaptive applications the adaptive designer combines adaptive templates and connectors these adapted templates a preconfigured adjustable application foundations and Neptune provides these connectors provide a reusable way to communicate with tables or scripts and you can configure these so together templates plus connectors = adaptive applications Neptune currently provides 4 key types of templates the most commonly used ones are the detail and list templates and these are great for showing a table of data and allowing easy editing of that data there's also the business intelligence and tile based templates for creating graphs and charts one connector can feed any number of adaptive applications so here we have our account data table going to one connector and disconnector then feeds both the list and the detail adaptive applications we can then reuse this connector to also talk to a tile adaptive app to show the underlying data in a chart the list and the detail apps are perfect to link together this is very easy to configure that allows you to click and item in the list to open that data within the detail app so why use the adaptive framework provides dragon drop configuration of applications with lots of customisable settings that can be turned on and off and what does adaptive mean in this context it means you can easily adapt the app to your needs by configuring and the end user can adapt during the runtime of the application so easy to set up filters searching grouping and with the adaptive the eye template it's easy to adjust different data showing in different visual formats a great use case is to create functional applications that work together quickly for managing data so creating updating and deleting records you can create these easy customisable analytical apps great for viewing data so creating tables dashboards and charts it's super fast to set up it reduces your development time so your time to value is minimised the adaptive framework integrates with the rest of the platform so adaptive apps run in the launch pad just like other low code apps so here we can see a launch pad with a low code app alongside two adaptive no code apps One running within the tile as a chart you can combine no code and low code apps so you can load adaptive apps into other loco apps you can also load loco apps into no code adaptive apps we'll have a look at this in the expert level of this no code training,543,public,2024-05-16 14:34:35.166483,
Foundation,, Exercise Generate A Connector.Txt,text,,"
Exercise:Generate a connector based on a table you have defined, by opening the Table Definition tool, and using the ""Generate"" feature, available when the table definition is in edit mode.These will be used later in the course.
",48,public,2024-05-16 14:34:35.169167,
Foundation,, App Builder Introduction.Txt,text,,"
Welcome to the App Builder - this is a unique tool as it is hosted and used within the Neptune Portal.You can access it via the cockpit (opens in a new tab), or via this link:https://portal.neptune-software.com/app/appbuilderYou will need to login to the Neptune Portal to use the App Builder. Please register for an account if you have not already.This chapter will be based on an existing comprehensive tutorial, available on YouTube.The full video here is available as a reference, however, this chapter will focus only on the relevant parts for this stage of the eLearning course. The full video shows a full deployment process via the Marketplace, into your Open Edition instance.https://www.youtube.com/watch?v=MKGKVn6e6DEIt is important to understand that the Apps being built with the App Builder - use the same underlying components and functionality as the rest of the toolset within the platform. This means that the apps built here, are forward compatible with the App Designer. The same UI5 framework components are used.
",212,public,2024-05-16 14:34:35.170814,
Foundation,, Introduction To The Script Editor And Javascript.Txt,text,,"
The Script Editor in Neptune DXP Open Edition is a powerful tool for creating server-side scripts.This is a Pro-Code editor, with drag-and-drop capabilities.It allows you to write JavaScript or TypesScript code, add resources to scripts, give direct access to tables, NPM Modules, and APIs, use automatically generated code snippets, and benefit from AI assistance. It's a handy tool for extending Neptune's functionality, with self-contained logic running on the Server, rather than within Applications on users' devices.Not familiar with JavaScript or TypeScript?It is recommended at this point to spend time becoming familiar with Javascript.Why Study JavaScript?JavaScript is one of the 3 languages all web developers must learn:   1. HTML to define the content of web pagesNeptune handles the creation of the HTML structure of your Applications!   2. CSS to specify the layout of web pagesNeptune allows you to write custom CSS styles on top of your Applications!   3. JavaScript to program the behavior of web pagesNeptune helps you by generating automatically or providing standard code where possible.Neptune recommended resources:W3 Schools provides detailed comprehensive documentation for all of JavaScript functionalities - however does also focuses on how to ""traditionally"" implement them in the browser - not all of this knowledge is required, as Neptune handles the execution of Server Scripts on the server side.https://www.w3schools.com/js/Other video tutorials are available:https://www.youtube.com/watch?v=BKxLrQYQ_2IThe more confident you are with JavaScript, the more empowered you will be within the Script Editor tool. You do not need to know a lot, to do a lot. Remember Neptune has drag-and-drop capabilities and Code Snippets that enable you to create logic, without coding everything from scratch.Familiarise yourself with the Script Editor tool Documentation:https://docs.neptune-software.com/neptune-dxp-open-edition/23/cockpit-overview/script-editor.htmlSciprts are organised by being grouped into Projects, within the Script Editor. You can view one project at a time. It is possible to set the script to be Global, so logic can be re-used across other scripts, even in different projects. Global scripts are covered later in the course.It is easy to trigger scripts to run as Jobs (sequences of scripts) on schedules, or on demand via API calls.
",487,public,2024-05-16 14:34:35.172004,
Foundation,, Comparing A Table And External Api Url.Txt,text,,"
Table Definition and External APIsTable Definition and External APIs serve similar purposes, both operating under REST API principles. However, Table Definition APIs enable you to create, update, list, and delete your internal data (tables generated from the Table Definition tool). On the other hand, external APIs facilitate connections to external resources such as weather APIs, stock market APIs, and others. It's important to note that you can develop an external API to interact with your internal tables. However, this process requires specifying endpoints, parameters, definitions, and more. This is precisely why the Table Definition API tool generates these elements for you when selected.Here we can see how the endpoint for a Table API is configured automatically, running against the domain of the environment, with the endpoints using the table name. Compared to an external API, which is configured manually:  
",169,public,2024-05-16 14:34:35.172915,
Foundation,, Runtime Overview.Txt,text,,"
Introduction to the runtime environment of the Open Edition:https://docs.neptune-software.com/neptune-dxp-open-edition/23/getting-started-guide/overview-runtime.htmlLearn about the database setup and the support for various other standalone databases.Comparison between SAP Edition and Open Edition, highlighting hosting methods and shared tools.https://docs.neptune-software.com/neptune-dxp-open-edition/23/getting-started-guide/overview-comparing.htmlNote:Neptune DXP - SAP Edition applications can run natively in a Neptune DXP - Open Edition launchpad. This means when both modules are used, it is possible to connect the SAP Edition to the Open Edition as a remote system, so applications can be called and loaded at runtime and run embedded into the Open Edition.
",160,public,2024-05-16 14:34:35.174087,
Foundation,, Cockpit Buttons Add Edit Display Save Delete.Txt,text,,"
Here you can see a couple of examples of the common tool action buttons within the Cockpit. Note that each tool can put any artifact into 'Edit' mode. This locks the record to your user, so only you can make changes. The lock must be manually removed for others to edit the artifact. When you return to 'Display' mode, the artifact is unlocked again and you can't edit it further.
",84,public,2024-05-16 14:34:35.175326,
Foundation,, Highlighting A Common Mistake Understanding The Underlying Data Format Of Your Response Object Vs Array Response.Txt,transcription,,now let's have a look at a common mistake which can happen when configuring your API definition we can use an example application in this case with a list that shows an array of objects there are two apis here this one triggers when the app is loaded and unsuccess will trigger this this API pulls the data and populates the list this is the API equipment with the get operation this is a table based API that was generated automatically we can see the get operation here in the API designer and the response is an array with the definition equipment which matches the properties in our table if we edit this and change the response body to an object but we use the same definition if we save revisit our application and reload you'll see the response appears to be here but the bindings are not correct this is because this model is now attempting to apply a single object to the list so it's just one item within our array this means each list item here is being generated based on each individual property within the table since lists and tables expect an array as their response you may encounter this issue when the response is set to an object you can simply swap the response body definition to an array so then the application will know that it expects a number of objects with all these properties reloading the application shows all the bindings showing the correct data has now each object is represented by a line not each property,269,public,2024-05-16 14:34:35.176216,
